Fund,Human Rights
AHA Socially Responsible Equity I,P
AHA Socially Responsible Equity N,P
Appleseed Fund[1],P
Calvert Aggressive Allocation Fund [5],P
Calvert Capital Accumulation A [6],P
Calvert Capital Accumulation B [7],P
Calvert Capital Accumulation C [8],P
Calvert Conservative Allocation Fund [9],P
Calvert Global Alternative Energy Fund A [10],P
Calvert Global Water Fund [11],P
Calvert International Opportunities Fund [12],P
Calvert Large Cap Growth A,P
Calvert Large Cap Growth B,P
Calvert Large Cap Growth C,P
Calvert Large Cap Growth I,P
Calvert Mid Cap Value Fund,P
Calvert Moderate Allocation Fund,P
Calvert New Vision Small Cap A,P
Calvert New Vision Small Cap B,P
Calvert New Vision Small Cap C,P
Calvert Small Cap Value Fund,P
Calvert Social Index A,P
Calvert Social Index B,P
Calvert Social Index C,P
Calvert Social Index I,P
Calvert Social Investment Balanced A,P
Calvert Social Investment Balanced C,P
Calvert Social Investment Bond A,P
Calvert Social Investment Enhanced Equity A,P
Calvert Social Investment Enhanced Equity B,P
Calvert Social Investment Enhanced Equity C,P
Calvert Social Investment Equity A,P
Calvert Social Investment Equity C,P
Calvert Social Investment Equity I,P
Calvert World Values International A,P
Calvert World Values International C,P
Domini European PacAsia Social Equity A [14],P
Domini European PacAsia Social Equity I [15],P
Domini European Social Equity A,P
Domini European Social Equity I,P
Domini Institutional Social Equity,P
Domini PacAsia Social Equity A,P
Domini PacAsia Social Equity I,P
Domini Social Bond [16],P
Domini Social Equity A,P
Domini Social Equity I,P
Epiphany Faith and Family Values 100 Fund – A Class [17][18],P
Epiphany Faith and Family Values 100 Fund – C Class,P
Epiphany Faith and Family Values 100 Fund – N Class,P
Green Century Equity,P
Legg Mason Prt Social Awareness Fund A,P
Legg Mason Prt Social Awareness Fund B,P
Merrion Stockbrokers Social Awareness Fund C,P
Praxis Growth Index Fund A [21],P
Praxis Growth Index Fund I,P
Praxis Impact Bond Fund A,P
Praxis Impact Bond Fund I,P
Praxis International Index Fund A,P
Praxis International Index Fund I,P
Praxis Small Cap Index Fund A,P
Praxis Small Cap Index Fund I,P
Praxis Value Index Fund A,P
Praxis Value Index Fund I,P
Neuberger Berman Socially Resp Inv [22],P
New Alternatives Fund [23],P
Parnassus Core Equity Fund [24],P
Parnassus Fund [25],P
Parnassus Income Fixed Income [26],P
Parnassus Mid Cap Fund [27],P
Parnassus Small Cap Fund,P
Parnassus Endeavor Fund,P
Pax World Balanced,P
Pax World Growth,P
Pax World High Yield,P
Pax World Value Fund – Individual Investor,P
Pax World Value Fund – Institutional Class,P
Sentinel Sustainable Core Opportunities Fund [30],P
Sentinel Sustainable Emerging Companies Fund,P
SPDR Gender Diversity Index ETF (SHE),P
TIAA-CREF,P
WVH Ethical Inc. Social Balanced Fund,P
WVH Ethical Inc. Social Equity Fund,P
