Fund,Human Rights,Ticker
Domini European PacAsia Social Equity A [14],P,D
Domini European PacAsia Social Equity I [15],P,D
Domini European Social Equity A,P,D
Domini European Social Equity I,P,D
Domini Institutional Social Equity,P,D
Domini PacAsia Social Equity A,P,D
Domini PacAsia Social Equity I,P,D
Domini Social Bond [16],P,D
Domini Social Equity A,P,D
Domini Social Equity I,P,D
Epiphany Faith and Family Values 100 Fund – A Class [17][18],P,EPHYU
Epiphany Faith and Family Values 100 Fund – C Class,P,EPHYU
Epiphany Faith and Family Values 100 Fund – N Class,P,EPHYU
Green Century Equity,P,GTEC
Legg Mason Prt Social Awareness Fund A,P,LM
Legg Mason Prt Social Awareness Fund B,P,LM
Praxis Growth Index Fund A [21],P,PRAX
Praxis Growth Index Fund I,P,PRAX
Praxis Impact Bond Fund A,P,PRAX
Praxis Impact Bond Fund I,P,PRAX
Praxis International Index Fund A,P,PRAX
Praxis International Index Fund I,P,PRAX
Praxis Small Cap Index Fund A,P,PRAX
Praxis Small Cap Index Fund I,P,PRAX
Praxis Value Index Fund A,P,PRAX
Praxis Value Index Fund I,P,PRAX
Neuberger Berman Socially Resp Inv [22],P,NBO
New Alternatives Fund [23],P,EDU
Pax World Balanced,P,PAXYF
Pax World Growth,P,PAXYF
Pax World High Yield,P,PAXYF
Pax World Value Fund – Individual Investor,P,PAXYF
Pax World Value Fund – Institutional Class,P,PAXYF
Sentinel Sustainable Core Opportunities Fund [30],P,STNL
Sentinel Sustainable Emerging Companies Fund,P,STNL
SPDR Gender Diversity Index ETF (SHE),P,SPY
