Fund,Defense/ Weapons
AHA Socially Responsible Equity I,X
AHA Socially Responsible Equity N,X
Ariel Appreciation Fund [2],X
Ariel Focus Fund,X
Ariel Fund,X
Azzad Ethical Income Fund [3],X
Azzad Ethical Mid Cap Fund,X
Brighter Student Fund [4],X
Calvert Global Water Fund [11],X
Domini European PacAsia Social Equity A [14],X
Domini European PacAsia Social Equity I [15],X
Domini European Social Equity A,X
Domini European Social Equity I,X
Domini Institutional Social Equity,X
Domini PacAsia Social Equity A,X
Domini PacAsia Social Equity I,X
Domini Social Bond [16],X
Domini Social Equity A,X
Domini Social Equity I,X
Gabelli SRI Green Fund Inc A[27],X
Gabelli SRI Green Fund Inc AAA [27],X
Gabelli SRI Green Fund Inc C,X
Gabelli SRI Green Fund Inc I,X
Praxis Growth Index Fund A [21],X
Praxis Growth Index Fund I,X
Praxis Impact Bond Fund A,X
Praxis Impact Bond Fund I,X
Praxis International Index Fund A,X
Praxis International Index Fund I,X
Praxis Small Cap Index Fund A,X
Praxis Small Cap Index Fund I,X
Praxis Value Index Fund A,X
Praxis Value Index Fund I,X
Neuberger Berman Socially Resp Inv [22],X
New Alternatives Fund [23],X
Parnassus Core Equity Fund [24],X
Parnassus Fund [25],X
Parnassus Income Fixed Income [26],X
Parnassus Mid Cap Fund [27],X
Parnassus Small Cap Fund,X
Parnassus Endeavor Fund,X
Pax World Value Fund – Individual Investor,X
Pax World Value Fund – Institutional Class,X
Pax World Women's Equity Fund – Individual Investor,X
Pax World Women's Equity Fund – Institutional Class,X
SPDR Gender Diversity Index ETF (SHE),X
Flex Total Return Utilities Fund [31],X
Vanguard FTSE Social Index Fund [32],X
WVH Ethical Inc. Social Balanced Fund,X
WVH Ethical Inc. Social Equity Fund,X
