Fund,Ticker
Ariel Appreciation Fund [2],ACEZ
Ariel Focus Fund,ACEZ
Ariel Fund,ACEZ
Domini European PacAsia Social Equity A [14],D
Domini European PacAsia Social Equity I [15],D
Domini European Social Equity A,D
Domini European Social Equity I,D
Domini Institutional Social Equity,D
Domini PacAsia Social Equity A,D
Domini PacAsia Social Equity I,D
Domini Social Bond [16],D
Domini Social Equity A,D
Domini Social Equity I,D
Gabelli SRI Green Fund Inc A[27],GUT
Gabelli SRI Green Fund Inc AAA [27],GUT
Gabelli SRI Green Fund Inc C,GUT
Gabelli SRI Green Fund Inc I,GUT
Praxis Growth Index Fund A [21],PRAX
Praxis Growth Index Fund I,PRAX
Praxis Impact Bond Fund A,PRAX
Praxis Impact Bond Fund I,PRAX
Praxis International Index Fund A,PRAX
Praxis International Index Fund I,PRAX
Praxis Small Cap Index Fund A,PRAX
Praxis Small Cap Index Fund I,PRAX
Praxis Value Index Fund A,PRAX
Praxis Value Index Fund I,PRAX
Neuberger Berman Socially Resp Inv [22],NBO
New Alternatives Fund [23],EDU
Pax World Value Fund – Individual Investor,PAXYF
Pax World Value Fund – Institutional Class,PAXYF
Pax World Women's Equity Fund – Individual Investor,PAXYF
Pax World Women's Equity Fund – Institutional Class,PAXYF
SPDR Gender Diversity Index ETF (SHE),SPY
Flex Total Return Utilities Fund [31],FLEX
Vanguard FTSE Social Index Fund [32],VWO
